User name,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,2020-12-05T18:03:43Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,165.225.21.54,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:259461813848:trail/Udacity_Trail""}]",0e84bb24-0656-4bc9-8638-24bc2473e3fa,2de3fd72-9381-464f-87d4-87027fcfd852,FALSE,AwsApiCall,2.59462E+11,Management
CloudTrail,2020-12-05T18:03:43Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,165.225.21.54,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:259461813848:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-259461813848-8b2b84f8""}]",29119e18-280f-4f08-a39b-47162a8853b4,4b1d5d5e-5e9d-47cc-aafd-870c927c9127,FALSE,AwsApiCall,2.59462E+11,Management
CloudTrail,2020-12-05T18:03:43Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,165.225.21.54,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",31fd6d17-f9ef-41fe-801c-3a47e477b874,5e962be5-fa19-4da9-ba54-1ea712182e51,FALSE,AwsApiCall,2.59462E+11,Management
CloudTrail,2020-12-05T18:03:43Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,165.225.21.54,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:259461813848:trail/Udacity_Trail""}]",b362c364-ab6f-40b8-ba88-b4ca5bc131ba,ca8ac16a-a6a2-4c8f-be02-a39a2831e142,FALSE,AwsApiCall,2.59462E+11,Management
CloudTrail,2020-12-05T18:03:42Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,165.225.21.54,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.893 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-259461813848-8b2b84f8""}]",2D465480893EDFE9,3452d67b-434b-4f08-b65b-3f59f4883205,FALSE,AwsApiCall,2.59462E+11,Management
CloudTrail,2020-12-05T18:03:42Z,s3.amazonaws.com,CreateBucket,us-east-1,165.225.21.54,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.893 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-259461813848-8b2b84f8""}]",7AA7E8EF68CC92AF,9e9cb687-926b-4675-86c8-81df83c24afe,FALSE,AwsApiCall,2.59462E+11,Management
CloudTrail,2020-12-05T18:03:42Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,165.225.21.54,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.893 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-259461813848-8b2b84f8""}]",7E8154D12B89357D,b3fd7836-dd53-486f-9e92-6b3e2779f84d,FALSE,AwsApiCall,2.59462E+11,Management
root,2020-12-05T18:02:18Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,165.225.21.54,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonS3FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",351f30ba-227d-4e9e-b107-ffae0c3d2f1a,7724d881-94d0-4d47-9dab-c54849c03019,FALSE,AwsApiCall,2.59462E+11,Management
CloudTrail,2020-12-05T17:56:49Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,165.225.21.54,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.893 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-259461813848-fda5ea02""}]",CF3655C7C9467889,b83c0c41-2b52-42fe-a4d9-3261593901f2,FALSE,AwsApiCall,2.59462E+11,Management
CloudTrail,2020-12-05T17:56:49Z,s3.amazonaws.com,CreateBucket,us-east-1,165.225.21.54,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.893 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-259461813848-fda5ea02""}]",C1C12BF4B9384B0A,e6131e5d-adf7-4d83-86ae-12f8d89d9c36,FALSE,AwsApiCall,2.59462E+11,Management
